handle,category_slug
"fuel-pump-assembly-for-tvs-pep-plus-bs6-zest-110-bs6-jupiter-110-bs6-ntorq-125-bs6-socket-4-pin-k6140720","fuel-pump-assembly"
"eauto-fuel-pump-assembly-for-honda-cb-shine-dio-livo-cd-110-dream-unicorn-bs6-hornet-160r-bs6","fuel-pump-assembly"
"eauto-fuel-pump-assembly-for-hero-pleasure-plus-bs6-destini-125-bs6","fuel-pump-assembly"
"eauto-fuel-pump-assembly-for-hero-xtreme-160r-bs6-stealth-4v","fuel-pump-assembly"
"eauto-fuel-pump-assembly-for-tvs-apache-rtr-310","fuel-pump-assembly"
"eauto-fuel-pump-assembly-for-tvs-apache-rr-310","fuel-pump-assembly"
"fuel-pump-assembly-for-yamaha-fz-s-v3-bs4-2022-present","fuel-pump-assembly"
"fuel-pump-assembly-for-yamaha-fz-v3","fuel-pump-assembly"
"2-inch-carxneo-black-phantom-ultra-100w-3-colour-projector-fog-lamp","head-light"
"carxneo-black-phantom-ultra-110w-3-colour-tri-color-led-fog-lamp-projector","head-light"
"carxneo-black-phantom-ultra-150w-3-colour-dual-laser-fog-lamp-projector","head-light"
"carxneo-black-phantom-110w-dual-laser-fog-lamp-projector-thar-creta-nexon","head-light"
"carxneo-black-phantom-70w-tri-color-led-projector-fog-lamp-creta-nexon-thar-swift","head-light"
"carxneo-90w-led-fog-lamp-projector-creta-nexon-thar","head-light"
"clutch-plate-for-honda-dream-yuga-paper-type","clutch-plate"
"clutch-plate-for-ktm-duke-200-rc-200-set-of-6","clutch-plate"
"eauto-bike-carburetor-for-honda-hornet-160-bs3-bs4-unicorn-160-bs3-bs4","carburetor"
"bikexneo-power-beam-pro-48w-motorcycle-led-headlight-bulb-high-performance-plug-play-universal-fit-1-year-warranty","led-bulb"
"bikexneo-power-beam-36w-motorcycle-led-headlight-bulb-ultra-bright-plug-play-h4-universal-fit-1-year-warranty","led-bulb"
"carxneo-pantherbeam-se-130-watt-powerful-car-led-bulb-set-of-2-h7-6000k-2-years-warranty","led-bulb"
"carxneo-pantherbeam-se-130-watt-powerful-car-led-bulb-set-of-2-h27-6000k-2-years-warranty","led-bulb"
"carxneo-pantherbeam-se-130-watt-powerful-car-led-bulb-set-of-2-9006-6000k-2-years-warranty","led-bulb"
"carxneo-pantherbeam-se-130-watt-powerful-car-led-bulb-set-of-2-9005-6000k-2-years-warranty","led-bulb"
"carxneo-pantherbeam-se-130-watt-powerful-car-led-bulb-set-of-2-h8-6000k-2-years-warranty","led-bulb"
"carxneo-pantherbeam-se-130-watt-powerful-car-led-bulb-set-of-2-h19-6000k-2-years-warranty","led-bulb"
"carxneo-pantherbeam-gold-260-watt-powerful-car-led-bulb-set-of-2-9012-6000k-2-years-warranty","led-bulb"
"carxneo-pantherbeam-gold-260-watt-powerful-car-led-bulb-set-of-2-h8-6000k-2-years-warranty","led-bulb"
"carxneo-pantherbeam-gold-260-watt-powerful-car-led-bulb-set-of-2-9006-6000k-2-years-warranty","led-bulb"
"carxneo-pantherbeam-gold-260-watt-powerful-car-led-bulb-set-of-2-9005-6000k-2-years-warranty","led-bulb"
"carxneo-pantherbeam-gold-260-watt-powerful-car-led-bulb-set-of-2-h7-6000k-2-years-warranty","led-bulb"
"carxneo-pantherbeam-gold-260-watt-powerful-car-led-bulb-set-of-2-h19-6000k-2-years-warranty","led-bulb"
"carxneo-pantherbeam-se-130-watt-powerful-car-led-bulb-set-of-2-h1-6000k-2-years-warranty","led-bulb"
"carxneo-pantherbeam-gold-260-watt-powerful-car-led-bulb-set-of-2-h1-6000k-2-years-warranty","led-bulb"
"carxneo-pantherbeam-200-watt-powerful-car-led-bulb-set-of-2-h27-4300k-2-years-warranty","led-bulb"
"carxneo-pantherbeam-200-watt-powerful-car-led-bulb-set-of-2-9012-4300k-2-years-warranty","led-bulb"
"carxneo-pantherbeam-200-watt-powerful-car-led-bulb-set-of-2-9006-4300k-2-years-warranty","led-bulb"
"carxneo-pantherbeam-200-watt-powerful-car-led-bulb-set-of-2-9005-4300k-2-years-warranty","led-bulb"
"carxneo-pantherbeam-200-watt-powerful-car-led-bulb-set-of-2-h8-4300k-2-years-warranty","led-bulb"
"carxneo-pantherbeam-200-watt-powerful-car-led-bulb-set-of-2-h4-h19-4300k-2-years-warranty","led-bulb"
"carxneo-pantherbeam-200-watt-powerful-car-led-bulb-set-of-2-h7-4300k-2-years-warranty","led-bulb"
"carxneo-pantherbeam-200-watt-powerful-car-led-bulb-set-of-2-h1-4300k-2-years-warranty","led-bulb"
"carxneo-pantherbeam-200-watt-powerful-car-led-bulb-set-of-2-9012-2-years-warranty","led-bulb"
"carxneo-pantherbeam-200-watt-powerful-car-led-bulb-set-of-2-h27-2-years-warranty-copy","led-bulb"
"carxneo-pantherbeam-200-watt-powerful-car-led-bulb-set-of-2-9006-2-years-warranty","led-bulb"
"carxneo-pantherbeam-200-watt-powerful-car-led-bulb-set-of-2-9005-2-years-warranty","led-bulb"
"carxneo-pantherbeam-200-watt-powerful-car-led-bulb-set-of-2-h8-2-years-warranty-copy","led-bulb"
"carxneo-pantherbeam-200-watt-powerful-car-led-bulb-set-of-2-h7-2-years-warranty-copy-copy-copy","led-bulb"
"carxneo-pantherbeam-200-watt-powerful-car-led-bulb-set-of-2-h1-2-years-warranty","led-bulb"
"carxneo-pantherbeam-200-watt-powerful-car-led-bulb-set-of-2-h4-2-years-warranty","led-bulb"
"carxneo-pantherbeam-200-watts-car-led-bulb-set-of-2-h4-h19","led-bulb"
"handle-bar-switch-for-royal-enfield-bullet-left-hand","handle-bar-switch"
"pricol-analog-speedometer-for-hero-splendor-plus-grey-white-dial","speedometer"
"tank-cover-for-yamaha-fz-fz16-fz-s-v1-deep-red-set-of-3","petrol-tank"
"pricol-analog-speedometer-for-hero-cbz-xtreme-old-model","speedometer"
"eauto-cdi-for-yamaha-rx-100-6v-3-2pin","cdi"
"eauto-cdi-for-yamaha-crux-libero-yd-110-smal-size-biack-coupler-colour","cdi"
"eauto-cdi-for-tvs-victor-gl-victorgx-6-2-2-1-pin-with-flasher-colour","cdi"
"eauto-cdi-for-tvs-victor-6-2-1-pin-part-no-n2060080","cdi"
"eauto-cdi-for-tvs-star-110-4-2-1-pin-part-no-n530","cdi"
"eauto-cdi-for-tvs-centra-7-2-1-pin","cdi"
"eauto-cdi-for-suzuki-gixxer-part-no-32900-34j00","cdi"
"eauto-cdi-for-suzuki-hayate-part-no-32900-23j00-000","cdi"
"eauto-cdi-for-tvs-scooty-pep-plus-bs4-3-6-2-2-1-yellow-colour","cdi"
"eauto-cdi-for-royal-enfield-thunderbird-350-2-4-2-pin-part-no-tcci-enfd-5707-green-colour","cdi"
"eauto-cdi-for-royal-enfield-bullet-350-2-4-2-pin-part-no-tcci-enfd-5938-blue-colour","cdi"
"eauto-cdi-for-royal-enfield-bullet-350-3-phase-2-4-2-pin-part-no-tcci-enfd-1467-black-colour","cdi"
"eauto-cdi-for-royal-enfield-bullet-350-single-phase-2-4-pin-part-no-tcci-enfd-1499","cdi"
"eauto-cdi-for-honda-activa-5g-feb-2019-model-7-pin-part-no-30410-kwph11","cdi"
"eauto-cdi-for-honda-activa-3g-4-3-pin-part-no-kwph","cdi"
"eauto-cdi-for-hero-maestro-activa-110-4-2-4-pin","cdi"
"eauto-cdi-for-hero-splendor-ismart-old-splendor-i3s-4-2-pin-part-no-aad1","cdi"
"eauto-cdi-for-bajaj-discover-125-bs4-4-2-pin-part-no-jz351214-sky-blue-colour","cdi"
"eauto-cdi-for-bajaj-ct-100-es-2018-model-6-pin-part-no-pf351224-grey-colour","cdi"
"eauto-cdi-for-hero-karizma-8-pin-part-no-30410-kry-900-38770-ktr-942","cdi"
"eauto-cdi-for-hero-cbz-4-2-pin","cdi"
"side-panel-for-hero-glamour-type-2-type7-sticker-silver-colour","side-panel"
"side-panel-for-hero-glamour-type-2-type7-sticker-sports-red-colour","side-panel"
"side-panel-for-hero-glamour-type-2-type7-sticker-black-silver-colour","side-panel"
"side-panel-for-hero-glamour-type-2-type7-sticker-black-red-colour","side-panel"
"side-panel-for-hero-glamour-type-2-type7-sticker-black-blue-colour","side-panel"
"side-panel-for-hero-glamour-type1-asfs-l-blue-colour","side-panel"
"side-panel-for-hero-glamour-type1-asfs-sports-red-colour","side-panel"
"side-panel-for-hero-glamour-type1-asfs-black-red-colour","side-panel"
"side-panel-for-hero-glamour-type1-new-model-silver-black-colour","side-panel"
"side-panel-for-hero-glamour-new-model-type1-forest-blue-colour","side-panel"
"side-panel-for-hero-glamour-new-model-type1-sports-red-colour","side-panel"
"side-panel-for-hero-glamour-type1-new-model-black-silver-colour","side-panel"
"side-panel-for-hero-glamour-new-model-type1-black-red-colour","side-panel"
"side-panel-for-hero-glamour-new-model-type1-black-blue-colour","side-panel"
"side-panel-for-hero-cd-100-deluxe-hf-100-deluxe-bs6-model-t-blue-colour","side-panel"
"side-panel-for-hero-cd-100-deluxe-hf-100-deluxe-bs6-model-h-grey-colour","side-panel"
"side-panel-for-hero-cd-100-deluxe-hf-100-deluxe-bs6-model-black-silver-colour","side-panel"
"side-panel-for-hero-cd-100-deluxe-hf-100-deluxe-bs6-model-black-red-colour","side-panel"
"side-panel-for-hero-cd-100-deluxe-hf-100-deluxe-bs6-model-black-blue-colour","side-panel"
"side-panel-for-hero-cd-100-deluxe-hf-100-deluxe-2019-model-type2-red-colour","side-panel"
"side-panel-for-hero-cd-100-deluxe-hf-100-deluxe-2019-model-type2-h-grey-colour","side-panel"
"side-panel-for-hero-cd-100-deluxe-hf-100-deluxe-2019-model-type2-black-silver-colour","side-panel"
"side-panel-for-hero-cd-100-deluxe-hf-100-deluxe-2019-model-type2-black-red-colour","side-panel"
"side-panel-for-hero-cd-100-deluxe-hf-100-deluxe-2019-model-type2-black-blue-colour","side-panel"
"side-panel-for-hero-cd-100-deluxe-hf-100-deluxe-2016-model-type1-eco-green-colour","side-panel"
"side-panel-for-hero-cd-100-deluxe-hf-100-deluxe-2016-model-type1-wine-red-colour","side-panel"
"side-panel-for-hero-cd-100-deluxe-hf-100-deluxe-2016-model-type1-red-colour","side-panel"
"side-panel-for-hero-cd-100-deluxe-hf-100-deluxe-2016-model-type1-silver-red-colour","side-panel"
"side-panel-for-hero-cd-100-deluxe-hf-100-deluxe-2016-model-type1-black-purple-colour","side-panel"
"side-panel-for-hero-cd-100-deluxe-hf-100-deluxe-2016-model-type1-black-red-colour","side-panel"
"side-panel-for-hero-cd-100-deluxe-hf-100-deluxe-2016-model-type1-black-blue-colour","side-panel"
"side-panel-for-hero-cd-100-deluxe-2012-model-type4-sticker-eco-leaf-green-colour","side-panel"
"side-panel-for-hero-cd-100-deluxe-2012-model-type4-sticker-red-colour","side-panel"
"side-panel-for-hero-cd-100-deluxe-2012-model-type4-sticker-wine-red-colour","side-panel"
"side-panel-for-hero-cd-100-deluxe-2012-model-type4-sticker-silver-red-colour","side-panel"
"side-panel-for-hero-cd-100-deluxe-2012-model-type4-sticker-black-red-colour","side-panel"
"side-panel-for-hero-cd-100-deluxe-2012-model-type4-sticker-black-blue-colour","side-panel"
"side-panel-for-hero-cd-100-deluxe-2010-model-type3-sticker-red-colour","side-panel"
"side-panel-for-hero-cd-100-deluxe-2010-model-type3-sticker-silver-red-colour","side-panel"
"side-panel-for-hero-cd-100-deluxe-2010-model-type3-sticker-black-red-colour","side-panel"
"side-panel-for-hero-cd-100-deluxe-2010-model-type3-sticker-black-blue-colour","side-panel"
"side-panel-for-hero-cd-100-deluxe-2008-model-type2-sticker-wine-red-colour","side-panel"
"side-panel-for-hero-cd-100-deluxe-2008-model-type2-sticker-silver-blue-colour","side-panel"
"side-panel-for-hero-cd-100-deluxe-2008-model-type2-sticker-red-colour","side-panel"
"side-panel-for-hero-cd-100-deluxe-2008-model-type2-sticker-black-red-colour","side-panel"
"side-panel-for-hero-cd-100-deluxe-2008-model-type2-sticker-black-blue-colour","side-panel"
"side-panel-for-hero-cd-100-deluxe-old-model-blue-colour","side-panel"
"side-panel-for-hero-cd-100-deluxe-old-model-silver-colour","side-panel"
"side-panel-for-hero-cd-100-deluxe-old-model-black-red-colour","side-panel"
"side-panel-for-hero-cd-100-deluxe-old-model-black-blue-colour","side-panel"
"eauto-petrol-tank-for-tvs-phoenix-125-black-with-red-sticker","petrol-tank"
"eauto-petrol-tank-for-tvs-phoenix-125-red-with-black-sticker","petrol-tank"
"eauto-petrol-tank-for-bajaj-platina-new-model-blue","petrol-tank"
"eauto-petrol-tank-for-honda-shine-bs6-blue-2020-present-models","petrol-tank"
"ensons-petrol-tank-for-royal-enfield-bullet-classic-350-bs3-old-model-before-apr-2014-models-black-golden-colour","petrol-tank"
"head-light-set-for-honda-cb-trigger","head-light"
"ensons-petrol-tank-for-yamaha-rx100-rx135-rxg-light-green","petrol-tank"
"ensons-petrol-tank-for-yamaha-rx100-rx135-rxg-shiny-grey","petrol-tank"
"ensons-petrol-tank-for-yamaha-rx100-rx135-rxg-matte-grey","petrol-tank"
"ensons-petrol-tank-for-yamaha-rx100-6-volt-grey-or-silver","petrol-tank"
"ensons-petrol-tank-for-yamaha-rx100-6-volt-red","petrol-tank"
"ensons-petrol-tank-for-yamaha-rx100-rx135-rxg-type-2-green","petrol-tank"
