name,sku,description,stock,image_url,handle,source_url,product_type,vehicle_brand,vehicle_model,emission_standard,part_name,vehicle_type,model_variant
"eAuto Fuel Pump Assembly","PRZ-FUELP-00001","eAuto · Trusted by Mechanics. Built for Riders. eAuto Fuel Pump Assembly for TVS Pep Plus BS6 | Zest 110 BS6 | Jupiter 110 BS6 | NTORQ 125 BS6 — 4 Pin Socket | OEM Ref: K6140720 (2020–Present) The complete in-tank fuel pump assembly for TVS's 110–125cc BS6 scooter platform covering the Pep Plus BS6, Zest 110 BS6, Jupiter 110 BS6, and NTORQ 125 BS6. This listing is for the 4 Pin socket variant (OEM Ref: K6140720) . Verify your connector pin count before ordering. TVS produced multiple connector c","0","https://cdn.shopify.com/s/files/1/0415/7846/3390/files/fuel-pump-assembly-for-tvs-pep-plus-bs6-zest-110-jupiter-ntorq-125-socket-4-pin-k6140720-2020-present-134_1b617a5a-c8c7-4f97-80ac-2bf24e4d1d6a.jpg?v=1771585466","fuel-pump-assembly-for-tvs-pep-plus-bs6-zest-110-bs6-jupiter-110-bs6-ntorq-125-bs6-socket-4-pin-k6140720","https://eauto.co.in/products/fuel-pump-assembly-for-tvs-pep-plus-bs6-zest-110-bs6-jupiter-110-bs6-ntorq-125-bs6-socket-4-pin-k6140720","Fuel Pump Assembly","Honda","Enfield","BS6","eAuto Fuel Pump Assembly","Scooter","110cc"
"eAuto Fuel Pump Assembly","PRZ-FUELP-00002","eAuto · Trusted by Mechanics. Built for Riders. eAuto Fuel Pump Assembly for Honda CB Shine 125 | Dio | Livo | CD 110 Dream | Unicorn BS6 | Hornet 160R BS6 (2020–Present) | OEM Ref: 16700-K0LD-01 The complete in-tank fuel pump assembly for Honda's BS6 commuter and 160cc motorcycle lineup — CB Shine 125 BS6, Dio BS6, Livo BS6, CD 110 Dream BS6, Dream Yuga BS6, CB Unicorn BS6, and CB Hornet 160R BS6. All seven models share OEM assembly 16700-K0LD-01, making this one of the highest-coverage Honda f","0","https://cdn.shopify.com/s/files/1/0415/7846/3390/files/fuel-pump-assembly-for-hero-glamour-fi-before-2014-model-part-no-16700-ktr-941-935.jpg?v=1758053044","eauto-fuel-pump-assembly-for-honda-cb-shine-dio-livo-cd-110-dream-unicorn-bs6-hornet-160r-bs6","https://eauto.co.in/products/eauto-fuel-pump-assembly-for-honda-cb-shine-dio-livo-cd-110-dream-unicorn-bs6-hornet-160r-bs6","Fuel Pump Assembly","Honda","Unicorn","BS6","eAuto Fuel Pump Assembly","Scooter","125cc"
"eAuto Fuel Pump Assembly","PRZ-FUELP-00003","eAuto · Trusted by Mechanics. Built for Riders. eAuto Fuel Pump Assembly for Hero Pleasure Plus BS6 / Destini 125 BS6 / Maestro Edge 125 BS6 (2020–Present) | FI Scooter | OEM Ref: 16700-AAL-901 Hero launched the Pleasure Plus and Destini 125 with Programmed Fuel Injection (PGM-FI) and BS6 compliance in January–February 2020, making them among India's first BS6-compliant FI scooters. This eAuto assembly covers the complete family — Pleasure Plus BS6, Pleasure Plus XTEC, Destini 125 BS6, Destini 1","0","https://cdn.shopify.com/s/files/1/0415/7846/3390/files/mukut-fuel-pump-assembly-for-hero-passion-pro-bs6-after-2018-model-658.jpg?v=1758071351","eauto-fuel-pump-assembly-for-hero-pleasure-plus-bs6-destini-125-bs6","https://eauto.co.in/products/eauto-fuel-pump-assembly-for-hero-pleasure-plus-bs6-destini-125-bs6","Fuel Pump Assembly","Hero","Maestro Edge","BS6","eAuto Fuel Pump Assembly","Scooter","125cc"
"eAuto Fuel Pump Assembly","PRZ-FUELP-00004","eAuto · Trusted by Mechanics. Built for Riders. eAuto Fuel Pump Assembly for Hero Xtreme 160R BS6 / Stealth / 4V (2020–Present) | 163.2cc FI | OEM Ref: 16700-ABZ-002 Hero launched the Xtreme 160R with Programmed Fuel Injection (PGM-FI) and BS6 compliance in early 2020, making it one of the first 160cc sports commuters in India with full FI. This eAuto assembly covers the complete Xtreme 160R BS6 family — standard Xtreme 160R BS6, Xtreme Stealth 160R, and Xtreme 160R 4V — all confirmed to share H","0","https://cdn.shopify.com/s/files/1/0415/7846/3390/files/mukut-fuel-pump-assembly-for-hero-passion-pro-bs6-after-2018-model-658.jpg?v=1758071351","eauto-fuel-pump-assembly-for-hero-xtreme-160r-bs6-stealth-4v","https://eauto.co.in/products/eauto-fuel-pump-assembly-for-hero-xtreme-160r-bs6-stealth-4v","Fuel Pump Assembly","Hero","Hero Xtreme","BS6","eAuto Fuel Pump Assembly","Motorcycle",""
"eAuto Fuel Pump Assembly","PRZ-FUELP-00005","eAuto · Trusted by Mechanics. Built for Riders. eAuto Fuel Pump Assembly for TVS Apache RTR 310 (2023–Present) | 312.2cc Liquid-Cooled FI The eAuto fuel pump assembly covers the TVS Apache RTR 310 — the naked streetfighter variant of the Apache 310 platform, launched in September 2023. While the RTR 310 shares the same co-developed BMW-TVS 312.2cc DOHC liquid-cooled engine as the RR 310, it features a redesigned fuel tank with different architecture — requiring its own dedicated pump assembly. E","0","https://cdn.shopify.com/s/files/1/0415/7846/3390/files/fuel-pump-assembly-for-tvs-apache-rtr-160-2v-bs6-180-2020-present-665.jpg?v=1758071316","eauto-fuel-pump-assembly-for-tvs-apache-rtr-310","https://eauto.co.in/products/eauto-fuel-pump-assembly-for-tvs-apache-rtr-310","Fuel Pump Assembly","Honda","Apache Rtr","","eAuto Fuel Pump Assembly","Motorcycle","FI"
"eAuto Fuel Pump Assembly","PRZ-FUELP-00006","eAuto · Trusted by Mechanics. Built for Riders. eAuto Fuel Pump Assembly for TVS Apache RR 310 (2017–Present) | 312.2cc Liquid-Cooled FI | Also Fits BMW G310R / G310GS / G310RR The eAuto fuel pump assembly covers the complete TVS Apache RR 310 range — India's flagship fully-faired supersport, co-developed with BMW Motorrad on a shared 312.2cc platform. Because the RR 310 and BMW G310R / G310GS / G310RR share the same engine and fuel tank architecture, this assembly fits all three brands. Covers","0","https://cdn.shopify.com/s/files/1/0415/7846/3390/files/fuel-pump-assembly-for-tvs-apache-rtr-160-2v-bs6-180-2020-present-665.jpg?v=1758071316","eauto-fuel-pump-assembly-for-tvs-apache-rr-310","https://eauto.co.in/products/eauto-fuel-pump-assembly-for-tvs-apache-rr-310","Fuel Pump Assembly","Honda","Apache Rr","BS6","eAuto Fuel Pump Assembly","Motorcycle","FI"
"eAuto Fuel Pump Assembly","PRZ-FUELP-00007","eAuto · Trusted by Mechanics. Built for Riders. eAuto Fuel Pump Assembly for Yamaha FZ-S V3 BS4 (Early 2019) | 149cc Air-Cooled FI The eAuto fuel pump assembly covers the Yamaha FZ-S V3 BS4 — the brief transitional version launched in early 2019 before the full BS6 switchover in November 2019. The FZ-S V3 BS4 updated the styling and chassis over the V2 but introduced a new fuel tank and pump module (OEM: B4G-E3907-00), distinct from both the V2 (2GS) and the BS6 V3 (B9P). This was a short produc","0","https://cdn.shopify.com/s/files/1/0415/7846/3390/products/fuel-pump-assembly-for-yamaha-fz-v3-924.jpg?v=1670745075","fuel-pump-assembly-for-yamaha-fz-s-v3-bs4-2022-present","https://eauto.co.in/products/fuel-pump-assembly-for-yamaha-fz-s-v3-bs4-2022-present","Fuel Pump Assembly","Yamaha","Fz","BS4","eAuto Fuel Pump Assembly","Motorcycle","V3"
"eAuto Fuel Pump Assembly","PRZ-FUELP-00008","eAuto · Trusted by Mechanics. Built for Riders. eAuto Fuel Pump Assembly for Yamaha FZ V3 BS6 / FZ-S V3 BS6 / FZ-X / FZ-S V4 (2019–Present) | 149cc Air-Cooled FI The eAuto fuel pump assembly covers the complete Yamaha FZ V3 BS6 generation — launched in November 2019 with a BS6-compliant 149cc fuel-injected air-cooled engine. This includes the FZ-S V3 BS6, FZ-X (launched June 2021), and the FZ-S V4 BS6 (launched 2023) — all share the same fuel tank architecture and pump module (OEM: B9P-E3907-00)","0","https://cdn.shopify.com/s/files/1/0415/7846/3390/products/fuel-pump-assembly-for-yamaha-fz-v3-924.jpg?v=1670745075","fuel-pump-assembly-for-yamaha-fz-v3","https://eauto.co.in/products/fuel-pump-assembly-for-yamaha-fz-v3","Fuel Pump Assembly","Yamaha","Fz","BS6","eAuto Fuel Pump Assembly","Motorcycle","V3"
"CarXNeo Black Phantom Ultra 100W 2.0"""" Tri-Colour Bi-LED Fog Lamp Projector (BP-106-3C-2IN) (Universal Fit","PRZ-FOGLA-00009","2-Inch Precision. 100W Explosive Power. Engineered for the modern premium fleet, the Black Phantom Ultra 2.0-inch is the definitive solution for vehicles with compact fog lamp housings. While most standard projectors are too large for the Toyota Fortuner (Sigma4/Legender) , Innova Hycross , and Hyundai Verna (2023+) , this 2-inch powerhouse delivers a massive 100W output in a sleek, mini frame. Elite All-Weather Visibility Don't let the small footprint fool you. This 2.0"""" Bi-LED projector featur","0","","2-inch-carxneo-black-phantom-ultra-100w-3-colour-projector-fog-lamp","https://eauto.co.in/products/2-inch-carxneo-black-phantom-ultra-100w-3-colour-projector-fog-lamp","Fog Lamp","Re","","","CarXNeo Black Phantom Ultra 100W 2.0"""" Tri-Colour Bi-LED Fog Lamp Projector (BP-106-3C-2IN) (Universal Fit","",""
"CarXNeo Black Phantom Ultra 110W 3.0"""" Tri-Colour Bi-LED Fog Lamp Projector (BP-105-3C) - High-Efficiency All-Weather Edition (Universal Fit","PRZ-FOGLA-00010","Professional Brightness. Adaptive Visibility. The Black Phantom Ultra 110W is the definitive all-weather upgrade for the modern Indian driver. This premium 3.0-inch Bi-LED projector delivers a massive 110W output , providing professional-grade illumination that is 10x brighter than factory halogen bulbs. Equipped with Ultra-Series Tri-Colour Technology , this projector allows you to master any environment: 3000K Deep Yellow: Maximum penetration for heavy rain and thick fog. 4300K Warm White: Opt","0","","carxneo-black-phantom-ultra-110w-3-colour-tri-color-led-fog-lamp-projector","https://eauto.co.in/products/carxneo-black-phantom-ultra-110w-3-colour-tri-color-led-fog-lamp-projector","Fog Lamp","Re","","","CarXNeo Black Phantom Ultra 110W 3.0"""" Tri-Colour Bi-LED Fog Lamp Projector (BP-105-3C) - High-Efficiency All-Weather Edition (Universal Fit","",""
